Policy,Episode,TotalTime,TasksCreated,TasksAccepted,TasksDropped,TasksCompleted,TotalReward,AvgQueueTime,LoadImbalance,ServerFrequencies
RoundRobin,49,0.0063,300,142,39,103,-784.29,261.43,4.08,"[33.33, 33.33, 33.33]"
RoundRobin,50,0.0051,300,153,38,115,-774.82,258.27,1.41,"[33.33, 33.33, 33.33]"
RoundRobin,51,0.0053,300,143,39,104,-784.46,261.49,1.25,"[33.33, 33.33, 33.33]"
RoundRobin,52,0.0060,300,143,38,105,-776.61,258.87,0.47,"[33.33, 33.33, 33.33]"
RoundRobin,53,0.0053,300,142,37,105,-775.19,258.40,0.94,"[33.33, 33.33, 33.33]"
RoundRobin,54,0.0053,300,150,41,109,-782.30,260.77,2.05,"[33.33, 33.33, 33.33]"
RoundRobin,55,0.0067,300,141,35,106,-783.52,261.17,4.19,"[33.33, 33.33, 33.33]"
RoundRobin,56,0.0064,300,148,44,104,-784.55,261.52,0.47,"[33.33, 33.33, 33.33]"
RoundRobin,57,0.0064,300,144,39,105,-770.13,256.71,2.87,"[33.33, 33.33, 33.33]"
RoundRobin,58,0.0070,300,145,37,108,-782.15,260.72,0.47,"[33.33, 33.33, 33.33]"
RoundRobin,59,0.0053,300,144,38,106,-782.97,260.99,3.86,"[33.33, 33.33, 33.33]"
RoundRobin,60,0.0057,300,151,39,112,-767.13,255.71,2.16,"[33.33, 33.33, 33.33]"
RoundRobin,61,0.0051,300,147,40,107,-782.80,260.93,0.47,"[33.33, 33.33, 33.33]"
RoundRobin,62,0.0051,300,144,40,104,-782.89,260.96,2.62,"[33.33, 33.33, 33.33]"
RoundRobin,63,0.0057,300,147,38,109,-774.56,258.19,3.86,"[33.33, 33.33, 33.33]"
RoundRobin,64,0.0053,300,140,35,105,-780.40,260.13,3.74,"[33.33, 33.33, 33.33]"
RoundRobin,65,0.0052,300,138,34,104,-782.06,260.69,0.47,"[33.33, 33.33, 33.33]"
RoundRobin,66,0.0068,300,145,40,105,-778.88,259.63,0.82,"[33.33, 33.33, 33.33]"
